Unnamed: 0,andriusp,boris,desiveri,henrikek,idarhan,juanms,larsfrog,matsc,mikolajs,oysteinhf,petrako,piyali,souvikb,thoreem,tiago,vh,viggoh
2020-05-04 20:00:05.874849,0.0,299681.28,1834518.22,0.0,0.0,0.0,1332415.43,3074575.36,25009.49,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1303056.03
2020-05-05 00:00:07.275355,0.0,299681.28,1834518.22,0.0,0.0,0.0,1332415.43,3074575.36,25009.49,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1346859.89
2020-05-05 05:00:05.464347,0.0,326626.76,1834518.22,0.0,0.0,0.0,1333841.07,3123307.52,25009.49,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1346859.89
2020-05-05 10:00:05.168976,0.0,343809.75,1834518.22,0.0,0.0,0.0,1333841.07,3123307.52,25009.49,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1346859.89
2020-05-05 15:00:04.866793,0.0,343809.75,1834518.22,0.0,0.0,0.0,1333841.07,3172002.13,25009.49,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1346859.89
2020-05-05 20:00:04.045832,0.0,365935.9,1834650.2,0.0,0.0,0.0,1333841.07,3172002.13,36080.07,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1346859.89
2020-05-06 00:00:18.335492,0.0,365935.9,1834650.2,0.0,0.0,0.0,1333841.07,3172002.13,36080.07,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1346859.89
2020-05-06 05:00:24.043431,0.0,365935.9,1834650.2,0.0,0.0,0.0,1333841.07,3220143.79,36080.07,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1346859.89
2020-05-06 10:00:20.488375,0.0,365935.9,1834650.2,0.0,0.0,0.0,1333841.07,3282983.25,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1346859.89
2020-05-06 15:00:04.234313,0.0,365935.9,1834650.2,0.0,0.0,0.0,1333841.07,3282983.25,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1346859.89
2020-05-06 20:00:04.474740,0.0,389172.91,1834650.2,0.0,0.0,0.0,1333841.07,3282983.25,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1346859.89
2020-05-07 00:00:02.982464,0.0,389172.91,1834650.2,0.0,0.0,0.0,1333841.07,3282983.25,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1346859.89
2020-05-07 05:00:04.523507,0.0,412753.96,1834650.2,0.0,0.0,0.0,1333841.07,3282983.25,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1346859.89
2020-05-07 10:00:04.771177,0.0,412753.96,1834650.2,0.0,0.0,0.0,1333841.07,3282983.25,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1346859.89
2020-05-07 15:00:05.106054,0.0,412753.96,1834650.2,0.0,0.0,0.0,1333841.07,3282983.25,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1512803.09
2020-05-07 20:00:04.267618,0.0,441422.35,1850011.77,0.0,0.0,0.0,1333841.07,3282983.25,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1512803.09
2020-05-08 00:00:02.359026,0.0,441422.35,1850011.77,0.0,0.0,0.0,1333841.07,3282983.25,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1547092.01
2020-05-08 10:00:05.906132,0.0,441422.35,1883034.7,0.0,0.0,0.0,1333841.07,3331091.91,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1547092.01
2020-05-08 15:00:06.654252,0.0,441422.35,1883034.7,0.0,0.0,0.0,1333841.07,3331091.91,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1547092.01
2020-05-08 20:00:04.234604,0.0,441422.35,1883034.7,0.0,0.0,0.0,1333841.07,3331091.91,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1547092.01
2020-05-09 00:00:04.277832,0.0,441422.35,1883034.7,0.0,0.0,0.0,1333841.07,3331091.91,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1547092.01
2020-05-09 05:00:04.155751,0.0,441422.35,1883034.7,0.0,0.0,0.0,1333841.07,3331091.91,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1547092.01
2020-05-09 10:00:04.055521,0.0,441478.45,1883034.7,0.0,0.0,0.0,1432237.23,3331108.98,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1547092.01
2020-05-09 15:00:04.898012,0.0,441478.45,1883034.7,0.0,0.0,0.0,1432237.23,3331108.98,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1547092.01
2020-05-09 20:00:03.975208,0.0,441478.45,1883034.7,0.0,0.0,0.0,1432237.23,3331108.98,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1737875.44
2020-05-10 00:00:03.650733,0.0,441478.45,1883034.7,0.0,0.0,0.0,1432237.23,3379123.2,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1737875.44
2020-05-10 05:00:04.235320,0.0,441478.45,1883034.7,0.0,0.0,0.0,1432237.23,3379123.2,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1737875.44
2020-05-10 10:00:03.665052,0.0,467108.77,1883034.7,0.0,0.0,0.0,1432237.23,3434423.75,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1737875.44
2020-05-10 15:00:05.246869,0.0,468272.72,1883034.7,0.0,0.0,0.0,1432237.23,3434423.75,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1737875.44
2020-05-10 20:00:05.816198,0.0,468272.72,1899946.2,0.0,0.0,0.0,1432237.23,3434423.75,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1737875.44
2020-05-11 00:00:05.228170,0.0,468272.72,1899946.2,0.0,0.0,0.0,1432237.23,3434423.75,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1737875.44
2020-05-11 05:00:04.125166,0.0,468272.72,1899946.2,0.0,0.0,0.0,1432237.23,3434423.75,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1737875.44
2020-05-11 10:00:04.388976,0.0,468295.33,1899946.2,0.0,0.0,0.0,1432237.23,3729344.28,36694.47,59998.72,0.0,0.0,0.0,15712.59,0.0,0.0,1737875.44
